sample_index,leaf_tokens,macro_tokens,compression_ratio,leaf_edges,macro_anchor_edges,macro_boundary_edges,bbox_volume,leaf_unique_types,macro_unique_types,leaf_edges_plus_x,leaf_edges_plus_y,leaf_edges_plus_z
0,704,560,0.7954545454545454,1439,898,1295,3072,369,423,301,536,602
1,1875,1582,0.8437333333333333,3963,2864,3663,18304,855,1010,1316,1352,1295
2,2397,1778,0.7417605340008344,5804,3468,5171,6144,675,834,2067,1645,2092
3,513,429,0.8362573099415205,1118,782,1034,1792,358,371,293,376,449
4,1253,573,0.4573024740622506,2550,829,1816,6144,257,325,1165,217,1168
5,2180,1729,0.7931192660550459,5221,3438,4766,5376,881,1089,1830,1716,1675
6,1130,952,0.8424778761061947,2332,1641,2154,6400,651,740,690,939,703
7,1697,1389,0.8185032410135533,3373,2342,3062,16896,602,735,1008,1349,1016
8,2762,1353,0.48986241853729184,5615,1393,4205,17280,217,370,1304,1728,2583
9,836,514,0.6148325358851675,1727,770,1393,4608,349,402,577,572,578
10,2424,1221,0.5037128712871287,5278,1607,3920,10752,460,713,2063,1385,1830
11,1808,1381,0.7638274336283186,3971,2643,3518,18432,856,967,1458,1100,1413
12,5792,5195,0.8969267955801105,13231,10749,12634,28800,1780,2248,4548,4159,4524
13,2195,1730,0.7881548974943052,4358,2629,3893,12800,875,1134,1590,1387,1381
14,410,343,0.8365853658536585,835,604,767,2560,291,301,248,338,249
15,3887,2610,0.6714689992281966,9512,4498,8190,28672,1042,1409,3296,2919,3297
16,1244,1094,0.8794212218649518,2784,2175,2634,5760,720,777,830,950,1004
17,1710,1368,0.8,3889,2595,3544,4480,814,974,1352,1109,1428
18,2561,1774,0.6926981647793831,5501,3181,4567,9216,957,1145,2145,1420,1936
19,3025,2335,0.771900826446281,6509,4154,5808,18432,1169,1406,2292,1946,2271
20,1132,997,0.8807420494699647,2446,1910,2311,3840,649,733,778,965,703
21,1036,807,0.778957528957529,2261,1447,2021,4480,585,665,765,769,727
22,1646,1444,0.8772782503037667,3788,2946,3586,11520,795,932,1253,1333,1202
23,1763,1543,0.8752127056154283,4142,3198,3922,8320,687,827,1520,1553,1069
24,2308,1822,0.7894280762564991,5383,3491,4896,6272,1017,1263,1906,1616,1861
25,3953,3236,0.8186187705540097,7890,5152,7172,24960,1134,1575,2591,2709,2590
26,2751,2231,0.8109778262450018,5661,3682,5141,18432,970,1279,2099,1463,2099
27,849,442,0.5206124852767963,1730,524,1308,3456,171,247,716,261,753
28,3004,2101,0.6994007989347537,6873,3624,5947,8192,913,1166,2626,1772,2475
29,679,626,0.9219440353460973,1445,1241,1392,8448,408,415,376,528,541
30,3692,2629,0.712080173347779,8213,4258,7134,13312,1110,1608,3008,2594,2611
31,1460,1222,0.836986301369863,3269,2269,3028,7040,616,734,1293,741,1235
32,2441,1985,0.8131913150348218,5615,3774,5155,7680,978,1238,2042,1748,1825
33,3065,2113,0.6893964110929853,6923,3510,5921,9984,904,1259,2343,2095,2485
34,2531,1311,0.5179770841564599,5918,1877,4583,18432,488,627,2325,1435,2158
35,3370,2825,0.8382789317507419,6807,4757,6262,25088,1196,1567,2419,2036,2352
36,1092,941,0.8617216117216118,2424,1793,2272,4608,663,712,789,914,721
37,2495,2192,0.878557114228457,5510,4276,5207,11648,1063,1276,1784,1723,2003
38,1553,1174,0.7559562137797811,3444,2051,3062,5376,743,873,1270,963,1211
39,5484,4350,0.7932166301969366,13251,8418,12116,15360,1454,2095,4732,4189,4330
40,3364,2735,0.8130202140309156,7315,4951,6669,18432,1189,1570,2499,2360,2456
41,1555,985,0.6334405144694534,3487,1508,2910,6144,461,630,1224,1198,1065
42,1064,934,0.8778195488721805,2303,1788,2173,6144,633,699,748,836,719
43,749,660,0.8811748998664887,1420,1079,1331,8320,399,450,524,580,316
44,5272,4540,0.8611532625189682,12547,9428,11812,28672,1533,2003,4223,3989,4335
45,2150,1812,0.8427906976744186,4509,3195,4171,26880,989,1201,1317,1594,1598
46,3401,3119,0.9170832108203469,8255,7011,7973,14080,1299,1514,2716,2767,2772
47,494,397,0.8036437246963563,1094,733,997,5120,301,325,404,357,333
48,5249,3592,0.6843208230139074,11046,5246,9372,21632,862,1379,3759,3530,3757
49,363,286,0.7878787878787878,781,477,704,1536,233,254,195,271,315
50,947,809,0.8542766631467793,2225,1634,2086,7168,491,570,769,768,688
51,2222,1900,0.8550855085508551,4463,3281,4140,12288,955,1139,1508,1558,1397
52,2154,1873,0.8695450324976788,4565,3504,4281,10368,1056,1217,1492,1551,1522
53,1068,926,0.8670411985018727,2048,1524,1906,26880,565,631,746,557,745
54,3124,2556,0.8181818181818182,6283,4236,5710,26880,1191,1495,2128,1796,2359
55,2723,2114,0.7763496143958869,5696,3640,5070,15488,1038,1295,2131,1452,2113
56,2308,1711,0.7413344887348353,5353,3201,4722,6144,786,1028,1760,1666,1927
57,830,679,0.8180722891566266,1768,1186,1617,3456,493,570,568,519,681
58,4623,2821,0.6102098204629028,9618,4007,7725,26880,900,1334,3391,2699,3528
59,1659,1272,0.7667269439421338,4105,2472,3717,4608,695,871,1520,1278,1307
60,1836,1460,0.7952069716775599,4389,2919,3987,6912,677,814,1529,1229,1631
61,1329,917,0.6899924755455229,2827,1530,2389,6400,626,722,935,1051,841
62,1451,876,0.6037215713301172,3062,1352,2405,5376,429,504,1287,554,1221
63,3139,2366,0.75374323032813,6623,3806,5828,21632,901,1237,2229,2144,2250
64,1619,1361,0.8406423718344658,3525,2544,3267,10752,846,990,1121,1229,1175
65,1159,506,0.4365832614322692,2365,774,1516,5376,327,358,1048,293,1024
66,3133,2230,0.7117778487073093,7108,4183,6129,18432,994,1265,2622,1895,2591
67,237,178,0.7510548523206751,481,281,422,1536,144,158,200,159,122
68,1154,972,0.8422876949740035,2705,1932,2523,7168,529,624,946,936,823
69,3039,2164,0.7120763409016124,6119,3208,5230,15488,852,1233,1885,2355,1879
70,3242,2600,0.8019740900678594,6538,4094,5896,21504,1115,1516,2348,2030,2160
71,3542,2273,0.6417278373800113,7845,3643,6497,22528,812,1124,2962,1923,2960
72,450,429,0.9533333333333334,891,809,870,4096,347,355,256,352,283
73,887,764,0.8613303269447576,1849,1374,1726,9216,522,581,575,584,690
74,3449,1882,0.5456654102638446,7296,2410,5556,12544,499,843,2738,1881,2677
75,2760,1782,0.6456521739130435,5541,2791,4438,18304,932,1167,2271,1088,2182
76,1196,1004,0.8394648829431438,2551,1806,2359,6400,660,769,791,982,778
77,2586,2107,0.8147718484145399,5534,3633,5055,10240,1079,1360,1736,1998,1800
78,3410,2698,0.7912023460410558,6823,4302,6102,26880,1067,1470,2472,2026,2325
79,2123,1637,0.7710786622703721,5178,3240,4689,4480,822,1051,1796,1532,1850
80,1523,1180,0.7747866053841103,3401,2185,3041,3584,710,856,1321,881,1199
81,8154,7579,0.9294824625950454,18914,16406,18332,24960,1869,2131,6240,6403,6271
82,3343,2097,0.6272808854322465,7398,3451,6020,14080,987,1293,2756,2094,2548
83,1098,962,0.8761384335154827,2407,1854,2271,14976,603,678,809,811,787
84,1164,880,0.7560137457044673,2380,1479,2078,12544,614,678,915,585,880
85,1075,897,0.8344186046511628,2179,1524,2000,3072,524,619,920,383,876
86,1191,1055,0.8858102434928632,2880,2285,2744,8320,638,716,993,995,892
87,2160,1689,0.7819444444444444,4556,2857,4077,14976,880,1105,1735,1175,1646
88,972,522,0.5370370370370371,1957,729,1464,6144,261,314,885,185,887
89,2858,2197,0.7687193841847446,6075,3669,5403,17280,1050,1404,1911,2059,2105
90,3803,3054,0.803050223507757,7807,5014,7058,21504,1224,1704,2771,2287,2749
91,5118,4079,0.7969910121141071,11723,7670,10678,14080,1175,1677,4168,3340,4215
92,1321,942,0.7130961392884179,2866,1703,2445,12800,595,676,1072,750,1044
93,2464,1992,0.8084415584415584,4929,3132,4457,19200,899,1185,1649,1747,1533
94,1005,778,0.7741293532338308,2361,1465,2133,3200,482,543,902,668,791
95,2270,1191,0.5246696035242291,5190,1772,3991,4608,404,635,1852,1494,1844
